food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Salmon,281,19.6,61.0,29.7
Quinoa,233,39.6,53.4,44.6
Beef Steak,184,19.0,39.9,1.1
Pork Chop,449,44.3,76.2,39.8
Chicken Breast,547,20.3,33.9,44.9
Chicken Breast,285,13.9,46.2,31.8
Banana,244,2.6,93.3,22.2
Coffee,484,29.7,70.2,37.9
Chicken Breast,592,34.7,55.6,21.1
Orange,57,8.4,65.5,35.9
Eggs,434,47.5,34.2,25.5
Broccoli,527,16.1,76.4,34.7
Butter,538,36.3,17.8,29.8
Coffee,276,20.7,97.9,27.3
Apple,558,12.3,55.4,26.1
Strawberry,308,42.1,25.7,3.1
Grapes,56,41.9,77.4,29.2
Pork Chop,565,4.8,45.9,45.1
Cheese,91,11.1,76.6,38.8
Spinach,282,12.0,54.0,6.6
Pasta,563,46.0,19.4,34.3
Cookies,566,45.4,8.8,44.5
Carrot,315,9.1,67.7,39.1
Butter,216,11.5,24.5,2.6
Orange,589,48.4,67.0,24.3
Orange,381,49.6,7.8,37.7
Potato,161,30.4,72.8,31.4
Chicken Breast,57,22.3,10.4,14.3
Oats,499,36.6,74.4,34.6
Orange Juice,412,41.9,5.5,14.4
Coffee,575,38.4,94.0,1.1
Cookies,362,47.2,47.7,23.9
Strawberry,492,34.3,27.1,16.6
Pasta,470,16.2,51.4,24.2
Butter,509,45.5,72.6,40.7
Banana,296,6.8,20.6,11.5
Water,181,6.6,12.9,45.2
Orange,572,40.1,49.7,14.9
Milkshake,507,48.2,79.6,15.5
Grapes,346,36.7,47.9,34.7
Potato,537,44.4,28.2,17.5
Green Tea,425,23.1,30.9,9.2
Nuts,560,36.1,15.1,12.3
Milkshake,148,39.3,67.7,18.2
Nuts,322,36.0,56.7,21.1
Cookies,240,21.4,78.0,14.2
Yogurt,144,45.2,42.2,1.5
Chicken Breast,450,18.1,14.7,25.8
Bread,467,4.5,95.5,49.5
Nuts,309,22.2,7.9,35.6
Coffee,594,15.2,21.0,2.0
Rice,527,35.9,52.3,35.1
Bread,304,18.6,75.8,49.8
Milk,235,12.4,83.2,47.4
Milk,176,36.5,70.7,14.9
Carrot,484,13.6,69.1,30.8
Butter,131,34.6,12.5,17.0
Strawberry,543,29.7,67.8,7.0
Beef Steak,89,2.4,11.3,18.7
Pork Chop,359,10.8,54.5,8.7
Beef Steak,342,18.9,9.8,5.0
Bread,50,18.4,11.1,29.6
Salmon,403,47.1,45.8,38.6
Cheese,267,43.6,16.8,17.4
Beef Steak,537,50.0,96.3,23.6
Potato,519,14.5,38.5,20.7
Salmon,168,34.5,57.5,9.2
Coffee,122,17.1,70.4,21.0
Chocolate,153,46.7,91.0,45.0
Carrot,263,33.4,9.3,17.1
Spinach,253,11.5,43.5,21.7
Carrot,488,4.6,68.8,47.2
Potato,565,48.7,54.6,2.9
Grapes,179,1.4,47.7,20.3
Cheese,213,17.3,35.9,7.1
Broccoli,355,44.5,70.5,37.4
Nuts,178,28.0,64.6,35.4
Bread,530,36.3,58.0,32.3
Water,417,7.7,97.6,39.2
Chips,365,29.1,67.1,28.2
Banana,140,19.1,38.6,30.2
Chocolate,106,38.9,16.9,33.7
Cheese,410,23.9,51.4,16.1
Paneer,223,30.1,20.9,15.6
Cheese,160,41.1,34.7,14.7
Green Tea,224,22.3,28.7,10.1
Chocolate,336,40.8,71.1,46.9
Broccoli,343,41.8,62.8,19.3
Orange,454,43.4,82.9,5.8
Bread,199,6.2,52.4,9.0
Potato,444,28.6,77.5,9.6
Chips,139,7.0,73.1,3.1
Apple,121,8.7,55.9,10.3
Rice,287,2.2,91.8,31.5
Broccoli,541,6.7,87.7,4.4
Pasta,593,17.9,53.9,9.9
Broccoli,311,21.3,67.6,5.8
Bread,587,20.4,84.3,36.7
Grapes,391,12.6,20.4,2.2
Bread,79,10.0,89.4,12.9
Grapes,67,27.7,41.9,38.4
Cheese,587,5.5,54.5,47.4
Butter,136,33.7,37.7,42.0
Banana,561,45.4,56.8,31.8
Orange,447,9.0,40.7,34.6
Milkshake,204,25.4,18.2,45.1
Water,570,39.6,83.5,16.8
Apple,521,18.6,46.2,36.0
Quinoa,481,29.2,12.5,9.7
Nuts,369,38.2,16.8,4.1
Yogurt,568,2.3,11.8,16.2
Yogurt,172,6.9,25.7,29.1
Spinach,201,41.0,12.7,47.1
Green Tea,404,12.1,33.3,4.5
Chocolate,531,20.0,12.3,30.3
Spinach,115,8.7,6.7,35.1
Salmon,59,36.3,13.9,26.9
Popcorn,481,38.6,36.8,12.2
Milkshake,328,6.8,85.3,17.0
Banana,358,27.3,37.5,16.7
Eggs,530,43.6,18.1,10.5
Eggs,95,37.2,81.9,20.7
Chocolate,384,7.1,96.4,40.0
Milkshake,103,30.2,70.8,42.0
Carrot,289,14.0,52.9,17.1
Chocolate,551,35.6,13.8,4.0
Oats,497,18.0,70.8,42.8
Milkshake,414,22.0,67.8,8.4
Spinach,205,1.1,10.5,28.1
Salmon,574,20.4,92.9,35.0
Nuts,433,40.5,34.5,28.7
Banana,546,12.3,52.9,37.8
Water,410,16.9,15.1,4.0
Apple,79,18.1,74.7,19.7
Tomato,500,18.8,10.5,18.6
Grapes,425,25.3,83.8,7.4
Cookies,113,21.4,27.1,29.3
Chocolate,185,2.4,71.1,34.1
Water,559,26.3,63.2,33.1
Eggs,482,37.1,27.2,11.9
Cookies,542,16.6,42.3,28.8
Carrot,300,9.5,61.5,19.0
Butter,485,26.2,34.1,17.9
Orange Juice,71,6.7,90.0,31.2
Potato,181,43.1,87.1,38.2
Pork Chop,330,20.2,83.1,49.8
Chocolate,249,11.4,13.3,28.6
Spinach,224,41.5,78.3,24.6
Coffee,246,15.1,97.7,27.5
Beef Steak,499,26.9,25.2,26.7
Paneer,194,6.2,80.8,32.6
Milk,194,17.4,59.6,46.6
Salmon,200,21.8,28.4,34.2
Rice,244,10.6,74.4,34.2
Paneer,185,22.3,10.4,17.3
Strawberry,219,25.9,65.9,17.3
Salmon,403,8.8,78.3,5.7
Grapes,214,10.9,86.3,2.6
Apple,190,16.4,92.3,47.8
Cookies,157,21.7,10.6,33.8
Milkshake,550,49.2,88.3,12.2
Milkshake,319,32.4,86.4,46.9
Popcorn,68,45.2,73.9,13.9
Banana,519,5.9,45.5,41.7
Carrot,570,39.2,35.6,13.0
Cookies,406,30.3,95.8,42.4
Orange Juice,589,11.2,16.5,43.0
Orange,60,34.9,9.3,22.7
Green Tea,532,16.0,25.4,40.8
Apple,458,36.9,94.6,5.7
Potato,377,49.9,42.9,33.6
Pork Chop,563,9.5,18.2,16.6
Popcorn,204,49.6,75.5,22.6
Orange,218,37.1,98.1,18.2
Chocolate,369,33.1,16.9,5.7
Broccoli,463,44.9,6.3,33.4
Milk,487,16.8,17.6,32.3
Chicken Breast,84,30.6,38.8,15.5
Yogurt,156,1.0,83.5,16.8
Nuts,202,11.9,23.5,28.3
Cookies,558,40.3,45.0,15.8
Carrot,499,42.8,65.0,1.6
Coffee,519,28.6,52.9,43.1
Chips,235,29.0,85.4,26.3
Butter,295,34.1,27.1,42.6
Quinoa,323,25.0,94.3,31.2
Chocolate,245,46.1,9.8,48.3
Orange Juice,407,15.5,86.6,31.3
Chicken Breast,485,47.9,16.0,24.1
Oats,427,25.1,40.9,1.4
Salmon,277,15.7,8.9,45.6
Carrot,493,31.6,59.5,34.0
Cookies,338,5.4,99.3,23.2
Tomato,574,14.9,51.5,29.4
Tomato,514,14.9,93.4,20.3
Salmon,62,5.7,50.0,37.8
Apple,196,7.7,23.9,26.9
Broccoli,92,45.0,37.3,17.3
Chocolate,326,47.2,71.9,9.2
Apple,417,46.8,31.9,27.1
Milkshake,465,32.7,23.0,3.4
Quinoa,410,27.7,75.2,7.6
Chicken Breast,165,31.6,68.0,30.3
Pork Chop,440,41.6,50.8,35.1
Milkshake,501,10.5,84.7,30.9
Pork Chop,337,38.0,87.7,42.0
Cheese,492,2.5,80.1,31.2
Green Tea,159,45.1,40.7,36.0
Milk,481,9.1,20.9,42.8
Popcorn,60,23.9,18.5,34.0
Bread,561,36.7,35.5,12.6
Water,580,23.6,15.6,49.9
Popcorn,515,37.6,41.0,44.2
Popcorn,406,40.0,17.9,10.4
Nuts,344,24.3,26.3,4.7
Yogurt,98,4.6,32.7,34.9
Pork Chop,141,40.7,81.6,44.6
Green Tea,138,29.8,6.3,7.6
Eggs,256,16.3,75.0,37.9
Milkshake,267,30.4,70.3,25.9
Chocolate,488,21.7,82.1,15.0
Tomato,364,28.6,39.7,25.3
Milkshake,521,34.8,36.9,43.0
Potato,437,10.4,71.6,19.1
Carrot,588,46.6,14.1,14.9
Milkshake,470,13.1,93.5,29.9
Strawberry,343,1.6,47.7,24.5
Spinach,311,7.7,58.2,39.0
Chocolate,413,39.6,56.8,29.1
Milkshake,336,15.2,11.1,1.1
Orange,141,19.8,8.2,46.5
Quinoa,268,35.6,30.5,17.7
Rice,287,44.7,76.7,28.5
Apple,473,13.4,16.8,28.8
Green Tea,359,36.7,37.8,32.2
Tomato,405,4.1,9.4,41.6
Milkshake,353,33.2,64.3,44.3
Pork Chop,531,46.9,73.7,21.9
Tomato,169,29.7,41.7,35.5
Coffee,328,32.3,75.8,3.3
Chocolate,192,29.7,11.9,3.5
Green Tea,80,28.8,79.4,31.2
Chicken Breast,180,35.6,35.4,46.9
Nuts,206,17.2,28.1,48.7
Strawberry,563,16.3,91.7,26.9
Nuts,363,16.2,12.3,5.6
Milk,299,17.1,44.3,31.7
Cheese,300,45.3,39.1,10.8
Banana,423,18.7,82.2,32.3
Grapes,546,6.8,64.7,27.3
Beef Steak,520,18.3,77.9,40.6
Oats,528,21.3,7.8,6.2
Milkshake,570,14.1,7.1,15.8
Orange,549,25.0,23.7,38.6
Orange Juice,84,40.5,18.7,23.7
Rice,475,20.0,34.8,2.4
Quinoa,186,22.6,52.6,27.7
Water,435,44.1,56.3,40.6
Orange,196,23.3,26.2,6.2
Green Tea,589,12.5,88.7,27.8
Milk,166,33.4,81.9,19.9
Milk,214,12.0,18.8,25.0
Banana,261,27.5,75.7,24.3
Carrot,396,18.0,55.3,40.3
Paneer,552,23.2,35.8,16.7
Paneer,407,45.3,13.7,25.4
Rice,178,49.0,74.3,27.9
Water,569,26.7,36.3,32.6
Grapes,115,18.1,54.5,12.0
Cheese,457,21.6,83.9,9.8
Potato,512,24.8,38.9,28.9
Oats,259,37.0,8.8,4.0
Eggs,392,3.7,93.0,6.7
Butter,398,27.4,56.2,32.3
Pasta,304,10.9,15.0,21.6
Rice,479,45.6,83.8,32.4
Apple,62,6.6,36.2,14.2
Pork Chop,431,24.6,25.2,39.1
Pasta,167,42.4,13.4,43.1
Pasta,333,39.3,71.0,25.3
Cheese,434,46.2,97.4,19.9
Milkshake,374,41.6,44.0,4.3
Salmon,443,22.0,47.8,23.9
Beef Steak,79,29.7,24.8,13.8
Tomato,432,13.1,55.6,44.5
Milkshake,592,40.8,73.2,18.5
Broccoli,207,35.9,94.1,27.7
Milk,51,31.1,53.4,24.0
Broccoli,475,14.4,58.1,40.4
Orange,353,35.2,88.1,49.6
Chicken Breast,101,14.4,74.2,16.0
Water,402,23.0,57.0,13.4
Nuts,425,19.9,64.0,5.3
Strawberry,251,8.1,35.9,5.4
Oats,501,4.2,55.0,16.5
Apple,495,43.9,17.5,34.0
Beef Steak,221,40.7,5.1,32.6
Chicken Breast,128,39.9,45.4,31.3
Oats,110,31.9,44.1,22.5
Green Tea,231,41.3,10.8,45.7
Nuts,185,44.0,62.8,8.8
Pasta,294,11.3,51.4,28.0
Nuts,90,43.1,85.0,30.7
Coffee,397,33.5,26.0,37.7
Eggs,386,5.3,5.6,8.4
Rice,309,32.6,16.0,4.2
Chicken Breast,507,30.6,78.6,43.3
Quinoa,190,44.5,41.1,20.3
Butter,253,22.1,47.4,35.6
Apple,86,18.8,73.0,42.5
Chocolate,380,24.2,16.7,8.0
Cheese,101,17.8,22.5,2.8
Cookies,583,47.3,27.3,8.5
Popcorn,570,49.9,71.1,5.3
Chips,509,8.7,89.4,46.1
Pork Chop,328,19.6,97.2,39.0
Pasta,72,34.5,92.9,27.7
Chips,374,1.8,19.8,21.2
Milk,478,47.8,78.7,12.8
Chocolate,477,46.6,32.6,47.6
Eggs,473,11.9,59.4,11.9
Apple,497,30.9,76.4,24.9
Milk,80,7.0,48.9,28.0
Apple,515,24.8,30.7,44.1
Cookies,80,18.0,70.5,36.9
Spinach,55,25.0,84.2,42.2
Strawberry,383,4.2,26.8,49.2
Green Tea,184,22.1,42.3,3.8
Beef Steak,464,22.7,63.5,23.7
Milk,306,30.0,84.7,25.3
Carrot,481,43.6,66.3,4.9
Grapes,436,46.7,95.1,14.0
Broccoli,194,17.2,84.9,22.0
Yogurt,111,4.2,38.7,20.0
Pasta,252,29.9,33.2,16.1
Beef Steak,285,5.8,60.7,32.2
Bread,520,46.7,54.6,44.2
Apple,456,29.4,13.6,9.3
Green Tea,107,38.3,78.7,47.4
Bread,584,31.8,21.0,34.6
Green Tea,118,7.9,62.0,22.9
Pork Chop,520,20.3,19.3,42.6
Tomato,564,44.9,98.5,4.2
Chips,106,8.1,61.7,34.2
Beef Steak,95,5.7,54.7,15.3
Potato,410,14.5,28.7,34.0
Milkshake,93,11.6,18.4,28.0
Orange,534,17.0,89.5,23.8
Tomato,569,27.0,19.1,14.6
Salmon,338,14.2,46.8,29.0
Water,285,38.0,25.8,6.9
Milkshake,64,3.4,75.9,26.7
Milk,363,11.8,10.4,7.8
Coffee,227,24.0,82.0,6.6
Quinoa,236,17.0,26.4,14.3
Butter,169,45.8,33.5,8.8
Chocolate,214,12.7,58.5,35.7
Milkshake,518,9.2,90.4,11.8
Bread,353,49.1,56.4,45.3
Butter,134,1.6,17.2,12.6
Quinoa,151,12.4,85.9,21.2
Water,521,44.6,31.1,26.4
Paneer,270,16.8,64.3,34.3
Milkshake,125,17.0,76.3,30.6
Paneer,279,49.1,27.3,42.7
Bread,128,22.0,41.6,24.5
Chicken Breast,311,15.8,26.3,16.1
Pasta,156,35.6,92.1,16.4
Bread,315,39.7,12.5,20.2
Milk,257,38.6,30.7,7.9
Water,297,5.2,76.2,40.2
Yogurt,442,16.4,8.4,20.0
Milkshake,476,20.2,91.5,19.3
Orange,560,18.4,75.7,4.5
Water,399,13.7,97.5,23.9
Tomato,392,29.5,97.4,48.0
Broccoli,76,33.3,42.1,32.4
Yogurt,461,14.0,79.3,34.8
Banana,297,34.1,19.6,24.7
Chicken Breast,195,2.7,28.8,8.2
Spinach,292,32.7,99.4,9.3
Coffee,344,7.0,44.8,23.6
Salmon,417,41.9,35.1,15.0
Orange Juice,158,2.2,29.2,7.2
Apple,170,46.1,21.9,14.9
Salmon,62,16.1,62.7,4.8
Beef Steak,445,9.5,61.3,4.6
Spinach,186,35.2,55.9,44.4
Eggs,279,43.1,9.6,26.1
Cookies,295,41.4,96.1,40.5
Grapes,454,2.2,58.1,37.4
Chicken Breast,57,24.6,23.8,42.6
Milk,269,46.9,78.5,27.7
Milkshake,583,11.1,56.9,24.7
Chicken Breast,54,45.8,81.1,1.4
Potato,274,49.4,63.0,6.9
Salmon,577,21.2,21.4,34.3
Orange Juice,423,36.6,10.4,1.7
Chips,80,21.4,95.9,6.7
Eggs,79,8.0,86.9,25.0
Paneer,70,13.2,30.5,48.0
Apple,197,5.2,95.7,11.8
Beef Steak,247,29.7,45.8,34.2
Orange,163,22.5,57.6,46.7
Potato,525,28.7,37.9,20.6
Strawberry,367,41.3,61.6,34.2
Orange Juice,589,46.5,84.5,23.6
Milk,446,18.8,42.0,11.3
Coffee,433,14.4,49.1,18.0
Salmon,377,36.7,28.8,4.4
Water,109,33.9,34.5,13.5
Pork Chop,565,46.8,69.3,18.8
Rice,94,18.0,92.2,1.6
Butter,510,7.2,59.8,41.9
Spinach,363,28.0,97.5,9.0
Quinoa,174,20.2,84.7,24.7
Salmon,425,23.2,49.5,37.3
Green Tea,251,20.1,25.8,30.7
Milk,279,37.2,48.0,49.0
Beef Steak,488,11.7,9.4,13.5
Carrot,138,36.7,88.0,38.9
Paneer,315,41.0,27.7,16.0
Green Tea,115,25.5,10.2,6.8
Popcorn,342,42.0,56.1,42.8
Milkshake,373,19.3,41.1,4.2
Milkshake,322,10.4,20.0,25.0
Water,357,5.1,92.7,43.0
Chips,389,1.4,10.6,25.4
Water,488,28.0,65.3,13.6
Strawberry,124,16.7,79.1,29.5
Orange,531,48.0,57.2,7.5
Bread,93,7.2,77.6,46.6
Butter,597,32.0,97.4,4.7
Oats,363,32.3,7.1,29.2
Beef Steak,64,43.3,24.1,9.3
Chocolate,593,36.6,27.5,25.0
Beef Steak,528,22.7,12.3,28.8
Green Tea,208,37.1,36.4,8.2
Oats,474,29.5,43.1,22.1
Bread,531,29.7,81.5,31.0
Tomato,449,41.4,25.8,31.6
Pork Chop,106,24.0,67.5,21.7
Salmon,406,4.7,24.9,31.6
Coffee,375,40.6,96.6,3.5
Bread,143,15.5,51.3,12.9
Yogurt,134,14.8,21.0,14.2
Coffee,90,39.2,57.2,8.4
Paneer,312,14.8,98.2,1.1
Potato,400,45.9,38.6,37.5
Oats,424,28.5,20.1,4.1
Apple,592,48.6,45.4,32.9
Orange,363,29.3,78.7,46.5
Cheese,380,16.3,29.1,21.2
Apple,169,32.6,60.6,40.7
Quinoa,408,11.5,31.7,13.5
Nuts,243,29.9,41.8,23.3
Quinoa,237,7.0,25.4,11.1
Rice,578,33.9,10.8,26.7
Pork Chop,554,31.4,63.9,38.1
Quinoa,427,25.9,83.0,6.1
Oats,128,32.9,93.7,30.9
Chicken Breast,557,8.4,8.2,45.9
Broccoli,368,35.8,48.3,23.6
Coffee,280,44.7,80.1,11.0
Broccoli,473,38.4,25.4,24.3
Coffee,286,8.5,71.9,21.8
Salmon,87,20.9,20.0,45.3
Paneer,582,3.1,12.1,49.1
Water,370,30.7,21.6,37.2
Grapes,269,44.4,67.9,7.6
Quinoa,230,26.1,75.1,45.5
Strawberry,226,34.4,71.9,31.0
Orange Juice,437,1.3,32.2,38.4
Cookies,207,42.7,9.0,31.8
Pasta,380,18.0,13.2,12.1
Potato,185,3.2,60.3,18.4
Spinach,301,44.0,93.6,17.9
Tomato,543,47.7,8.5,2.9
Carrot,223,33.5,81.4,25.1
Bread,520,35.0,11.2,26.9
Milk,595,36.9,79.0,4.3
Oats,508,46.1,45.2,28.5
Chocolate,594,5.2,46.5,46.7
Chocolate,204,36.0,50.4,26.3
Chocolate,506,3.4,72.2,27.2
Chips,564,23.1,61.4,2.3
Water,501,18.7,12.5,35.5
Paneer,583,36.7,62.6,33.5
Bread,76,5.0,65.4,48.1
Popcorn,333,43.3,7.2,45.5
Spinach,114,41.4,25.3,27.2
Cheese,318,32.9,59.5,15.5
Carrot,243,8.1,93.7,41.1
Broccoli,107,18.2,60.7,33.7
Beef Steak,212,45.5,96.8,23.1
Oats,114,9.5,10.7,4.3
Carrot,421,33.6,28.4,18.0
Broccoli,217,33.9,76.4,29.8
Carrot,139,24.4,93.2,5.2
Milk,117,49.4,90.7,38.6
Eggs,511,30.9,82.5,17.5
Carrot,344,26.4,20.7,2.4
Beef Steak,570,42.9,74.7,25.7
Pork Chop,433,15.8,26.2,48.2
Green Tea,531,37.5,42.5,23.8
Oats,255,20.4,23.3,8.6
Water,522,1.3,59.3,24.4
Nuts,355,27.9,50.7,4.0
Green Tea,399,38.7,10.3,34.6
Grapes,375,27.2,13.7,31.7
Grapes,444,42.7,82.9,1.4
Rice,359,42.3,7.8,24.9
Potato,120,36.1,79.6,44.7
Water,426,14.3,81.4,11.2
Water,243,3.2,54.2,41.5
Cheese,274,45.8,62.5,32.4
Apple,551,38.0,29.3,3.5
Chicken Breast,277,16.6,55.6,27.6
Milkshake,352,22.9,70.2,2.1
Quinoa,152,48.7,30.5,25.1
Popcorn,600,46.4,50.3,3.8
Yogurt,175,29.3,51.3,11.7
Spinach,319,39.6,8.9,16.9
Orange Juice,249,15.0,89.8,19.4
Rice,181,18.1,36.4,39.4
Yogurt,508,24.9,72.4,13.4
Salmon,349,26.8,26.2,34.9
Chicken Breast,380,27.7,41.7,48.8
Apple,582,38.4,47.9,14.9
Eggs,261,20.1,52.5,12.7
Beef Steak,169,39.5,25.6,47.0
Banana,215,41.5,24.9,45.3
Apple,585,16.7,45.4,37.3
Salmon,140,21.6,61.3,3.7
Yogurt,182,26.6,59.3,16.6
Eggs,370,14.0,8.3,29.1
Paneer,209,22.5,56.6,27.6
Carrot,362,16.6,47.2,39.0
Popcorn,125,18.8,30.1,30.9
Pork Chop,361,19.9,81.2,9.9
Salmon,350,6.5,6.6,28.2
Grapes,600,36.4,23.0,46.4
Pork Chop,163,21.8,50.3,47.9
Water,367,6.7,34.8,5.1
Milk,147,31.9,51.7,15.3
Butter,330,49.5,39.5,39.1
Yogurt,338,21.6,46.9,30.3
Chicken Breast,440,40.1,76.1,13.9
Oats,577,38.7,28.8,43.5
Chips,121,30.7,80.6,39.7
Pork Chop,261,28.4,79.5,49.9
Butter,511,40.3,81.6,33.3
Carrot,173,2.5,59.5,8.6
Apple,226,1.5,58.8,45.2
Tomato,430,33.5,90.5,36.1
Nuts,156,30.7,11.9,43.2
Yogurt,321,12.2,7.4,20.9
Chocolate,398,33.8,75.7,28.0
Popcorn,363,35.8,68.9,6.7
Oats,299,45.1,41.0,22.1
Chocolate,263,8.3,85.8,28.9
Quinoa,530,2.0,77.9,20.6
Chicken Breast,93,45.7,98.1,22.5
Popcorn,337,17.2,39.0,13.9
Spinach,148,18.2,6.2,7.8
Grapes,224,44.2,71.1,36.2
Salmon,280,18.7,58.8,44.1
Grapes,303,32.0,61.8,31.1
Nuts,254,24.0,57.3,15.3
Chicken Breast,584,40.2,14.3,29.2
Cheese,428,8.1,11.2,41.1
Water,368,40.5,53.3,30.0
Carrot,494,48.8,75.8,34.0
Quinoa,565,36.6,32.4,41.6
Eggs,443,21.3,61.9,15.0
Broccoli,97,7.1,12.6,24.8
Tomato,483,4.0,35.0,16.4
Spinach,447,46.5,36.4,22.4
Apple,253,4.5,13.3,38.1
Chips,270,14.1,100.0,28.1
Pasta,75,2.8,91.9,3.4
Broccoli,331,22.4,92.7,42.8
Yogurt,73,23.5,9.7,21.2
Butter,442,33.0,95.5,15.1
Spinach,174,33.1,46.6,45.4
Coffee,376,7.1,92.5,32.9
Nuts,516,12.6,82.8,32.8
Orange,526,18.0,7.4,26.2
Chicken Breast,73,25.5,27.9,18.0
Popcorn,153,37.0,17.4,15.5
Chicken Breast,77,35.9,57.3,45.6
Popcorn,571,46.0,22.6,47.3
Coffee,519,43.4,99.8,39.0
Chips,358,3.8,36.8,47.9
Chocolate,372,21.4,21.7,29.6
Water,517,5.7,21.7,8.7
Nuts,204,42.4,92.1,39.3
Chocolate,378,20.1,94.2,37.7
Pasta,428,25.1,83.1,48.1
Strawberry,500,24.1,84.1,41.0
Orange Juice,178,47.7,77.3,48.5
Broccoli,597,1.3,57.4,49.3
Cookies,364,24.5,89.3,41.9
Cheese,311,28.5,14.2,46.7
Orange Juice,509,14.0,83.6,17.2
Rice,591,33.4,71.1,12.1
Apple,363,48.4,25.2,49.3
Rice,211,30.3,70.4,22.4
Beef Steak,262,8.7,20.6,44.3
Popcorn,560,39.0,65.1,23.1
Carrot,366,30.7,42.6,8.6
Yogurt,51,46.0,56.4,49.0
Milk,312,16.3,77.5,13.0
Orange,586,2.0,17.7,35.4
Chocolate,517,34.5,85.8,40.8
Milkshake,219,19.6,12.7,16.6
Grapes,578,1.8,50.6,22.0
Milk,431,6.8,15.3,40.5
Spinach,275,49.2,25.1,11.5
Strawberry,215,19.6,61.0,28.4
Spinach,467,28.5,70.0,40.5
Chips,422,42.9,71.4,34.9
Potato,105,42.2,37.0,33.3
Milk,459,49.1,28.4,3.7
Milkshake,433,23.8,69.1,24.9
Beef Steak,578,32.5,5.2,2.2
Orange,443,32.1,40.3,20.8
Quinoa,96,9.3,11.6,19.9
Eggs,530,43.8,67.2,10.5
Potato,337,15.3,8.1,30.5
Milk,495,42.8,84.6,30.9
Cookies,593,41.3,70.6,7.4
Potato,133,10.3,36.7,1.1
Cheese,66,44.0,46.5,22.4
Coffee,90,8.0,79.6,38.4
Pasta,295,34.8,93.0,1.0
Rice,335,49.2,84.5,36.8
Potato,314,14.6,59.1,34.2
Spinach,274,39.6,82.1,42.0
Chips,459,40.0,83.9,7.5
Cheese,442,33.7,69.7,33.3
Potato,155,34.6,49.0,34.3
Spinach,224,25.4,34.0,44.2
Tomato,259,8.2,36.8,9.3
Salmon,402,13.0,62.1,37.9
Paneer,98,8.0,57.1,43.5
Cookies,263,17.3,56.2,47.6
Water,252,15.2,58.3,1.2
Spinach,514,14.1,62.7,48.7
Beef Steak,513,19.4,48.6,26.4
Carrot,308,22.3,76.2,16.6
Carrot,526,15.3,50.3,40.2
Cheese,57,48.1,5.9,24.3
Green Tea,238,29.8,50.9,37.2
Potato,389,43.6,75.3,8.9
Broccoli,581,49.9,71.4,46.0
Rice,427,21.6,84.4,8.7
Milkshake,395,37.3,18.0,9.4
Pork Chop,59,35.6,78.0,7.0
Quinoa,232,1.4,25.5,4.2
Potato,50,25.6,61.7,39.1
Orange,299,19.1,72.8,6.0
Bread,320,15.9,98.7,24.6
Chocolate,140,29.0,25.9,40.0
Cookies,389,10.0,79.4,28.1
Oats,71,22.7,93.0,6.4
Cheese,60,39.2,23.6,39.6
Coffee,465,5.3,8.8,2.7
Chips,321,22.7,62.2,38.2
Pork Chop,351,33.6,86.6,25.6
Bread,470,11.6,83.9,1.3
Milk,227,31.8,6.4,10.4
Milkshake,599,43.2,32.6,14.7
Pasta,405,33.7,33.6,28.0
